All Detection Records,,,,,,,,,
---------------------,,,,,,,,,
,,,,,,,,,
Index,Date,Time,[uSec],TagID/BPM,Freq [MHz],Codeset,Antenna,Gain,RSSI
1,9/2/2024,20:36:40,722432,25,166.38,Lotek6M,Antenna 1,65,89
2,9/2/2024,20:36:51,824229,25,166.38,Lotek6M,Antenna 1,65,107
3,9/2/2024,20:36:55,525477,25,166.38,Lotek6M,Antenna 1,65,92
4,9/2/2024,20:37:06,627099,25,166.38,Lotek6M,Antenna 1,65,109
5,9/2/2024,20:37:17,729205,25,166.38,Lotek6M,Antenna 1,65,116
6,9/2/2024,20:37:32,532389,25,166.38,Lotek6M,Antenna 1,65,116
7,9/2/2024,20:37:43,634789,25,166.38,Lotek6M,Antenna 1,65,109
8,9/2/2024,20:38:02,138640,25,166.38,Lotek6M,Antenna 2,65,111
9,9/2/2024,20:38:13,240592,25,166.38,Lotek6M,Antenna 2,65,119
10,9/2/2024,20:38:24,342944,25,166.38,Lotek6M,Antenna 2,65,117
11,9/2/2024,20:38:28,44021,25,166.38,Lotek6M,Antenna 2,65,119
12,9/2/2024,20:38:39,146251,25,166.38,Lotek6M,Antenna 2,65,107
